Features,gender_p-value,gender_beta,gender_q-value,age_p-value,age_beta,age_q-value,r2,f-test_pval,f-test_q-value
50.3_72.0806m/z,1.330486840849664e-08,1453.4676934958175,3.8723249635332295e-06,0.0013575587549346975,-811.4602958796779,1.0,0.06644950471596334,2.688763043111693e-09,9.755474491248777e-07
215.75_77.0383m/z,0.02966927888294387,8181.782667916319,0.8184839464641783,0.15456508266403332,-5349.3804206370805,1.0,0.010891336801933327,0.0431548520673543,1.0
47.38_80.0493m/z,0.0024097899990602007,1367.8800439347922,0.10602273343021941,0.6453822746386029,206.6022087162462,1.0,0.01677851061635305,0.007779306517088783,0.289190355044049
133.09_81.0331m/z,0.1520193365165047,1020.3762323279516,1.0,0.5946615748955025,378.68263187754286,1.0,0.0043043183352342584,0.2899619234796218,1.0
45.8_81.0445m/z,1.1404262133808418e-11,1474.1653801232756,6.0933863087740415e-09,0.7712173012578665,-61.883591707174325,1.0,0.07730149022971211,9.379249919786893e-11,4.5786031843435754e-08
264.42_81.0697m/z,0.02458253374066727,-2795.7190518342927,0.7083613056123813,0.02357629194535312,-2815.3810399335653,1.0,0.019035534627218298,0.004022445121073959,0.17722415020795135
178.79_83.0489m/z,0.4441325034811382,-360.30895215697694,1.0,0.004239985789984207,-1350.774492624465,1.0,0.015857557213950213,0.01017735822367695,0.3541821891836803
36.05_83.0602m/z,0.02389837428228764,2694.9944223715984,0.6927359476642859,0.10897578884357262,-1909.97804571665,1.0,0.012324205291685986,0.028466614124006563,0.7916097296895802
217.96_83.0602m/z,0.004168786166209166,700.4910784195822,0.16649699336248716,0.3406644105821708,232.1894820850722,1.0,0.016609123617621124,0.008173576708358872,0.2994910875675735
274.66_83.0852m/z,0.06205419208981091,-1154.2061497216355,1.0,0.012285642811960946,-1550.4722788224014,1.0,0.018196318688677104,0.005141339953992731,0.2125265158314414
76.94_84.0442m/z,4.851918651151611e-06,7600.442814811055,0.000671489719545923,0.8597288316511005,291.1248458935703,1.0,0.03627475713803252,2.4807233438787098e-05,0.0029867650285618818
217.96_84.0442m/z,0.002175051241312782,6874.730521196218,0.09802413735017648,0.3419740182015464,2123.090310489356,1.0,0.018693152659669643,0.004446169335890967,0.19100008873966798
58.21_84.0442m/z,0.1974995528665477,-713.7994174922791,1.0,0.1515129926974409,-794.4124892518129,1.0,0.007015220869125094,0.13259396642361979,1.0
107.67_84.0805m/z,0.542388964663576,286.35985412906854,1.0,0.730740281215004,-161.72419633233244,1.0,0.0007990591639429612,0.7949932515337363,1.0
46.02_84.0805m/z,0.00037062753675825807,1871.09179276584,0.02367868327020135,0.054733023739294326,-1005.5023970302855,1.0,0.026316239413903708,0.0004741819090470211,0.032341841123068184
58.25_85.0282m/z,0.00026541023089295286,1996.9547028944583,0.01800869034606993,0.7473494771543895,175.3545619928765,1.0,0.023568555676083403,0.001064594381981552,0.06133746745501189
144.17_85.0282m/z,3.667986986882827e-05,1343.5901781064458,0.003574652013016563,0.06286284996509715,-601.8589567336561,1.0,0.03309901062058873,6.377277670505825e-05,0.006510392400924326
39.77_85.0504m/z,0.1888093273297869,854.7178189471948,1.0,0.1655448779183882,901.8540182782411,1.0,0.006889678347577144,0.13749320996433484,1.0
294.46_86.0598m/z,0.25993918672948607,758.171569277143,1.0,0.8317346649768512,142.9029173581267,1.0,0.0023720327783466333,0.5058161099193847,1.0
88.91_86.0961m/z,2.179755658896022e-08,4761.25456648988,6.128187285926573e-06,0.02394106702417853,-1898.6428662142466,1.0,0.058240556091633255,3.3172286018765035e-08,9.733788253720954e-06
56.16_86.0962m/z,0.05072286248932934,18477.565209472657,1.0,0.7911366042700022,2500.137097743557,1.0,0.006945454806300044,0.13529467581923424,1.0
245.51_86.0961m/z,0.00010438571901270186,948.514095980435,0.008347427444942478,0.012960659637885816,-604.9849798443544,1.0,0.03371898261166295,5.3050507991248745e-05,0.0056021685683920065
56.12_87.0994m/z,0.04476503251099989,1247.743581876384,1.0,0.8282586887503273,134.6241909386698,1.0,0.0072484002370331035,0.12395125568221688,1.0
39.93_88.0866m/z,0.15818995901561697,1468.1262835525047,1.0,0.12517601371469003,1595.2981219335231,1.0,0.008188576752551135,0.09443944388274261,1.0
43.36_89.0231m/z,0.1862071772215879,1269.6806407095387,1.0,0.615889030890351,-481.4896285272455,1.0,0.0033132199412395646,0.3857858439320264,1.0
237.39_89.0383m/z,0.03542987237898699,1148.5341518867638,0.9378337181369251,0.7864559040729019,147.62746209458794,1.0,0.008022916946950676,0.09907644460196219,1.0
36.6_90.0546m/z,2.8698265511988516e-10,-12451.635514054906,1.1500280516038695e-07,0.5109321680585068,-1275.753456530358,1.0,0.06910172039561713,1.1883362495467682e-09,4.590733985575656e-07
91.66_90.1095m/z,0.7261803936230948,0.1401517695992556,1.0,0.15376564233396606,0.571210452678507,1.0,0.003920043219016844,0.3239185088653285,1.0
