Features,gender-value,gender_beta,gender_q-value,r2,f-test_pval,f-test_q-value
50.3_72.0806m/z,6.452843166367405e-08,1387.4796119362152,1.642742982942074e-05,0.0495936152704628,6.452843166368465e-08,1.64274298294239e-05
215.75_77.0383m/z,0.03899103062496103,7746.770193143708,1.0,0.007389886503051946,0.0389910306249706,1.0
47.38_80.0493m/z,0.002044765082551771,1384.6809687223465,0.09606269641262584,0.016415377444779056,0.002044765082552186,0.09606269641264534
133.09_81.0331m/z,0.13849937878989158,1051.170764758464,1.0,0.0038126464885452904,0.13849937878992868,1.0
45.8_81.0445m/z,1.1034040282103586e-11,1469.1329965088112,5.984900759522409e-09,0.07716544095955047,1.1034040282105244e-11,5.984900759523308e-09
264.42_81.0697m/z,0.015081868412382888,-3024.666290076044,0.4824934084281717,0.010229085665505622,0.015081868412385098,0.48249340842824234
178.79_83.0489m/z,0.31953361235083344,-470.15415079519664,1.0,0.0017232376596192367,0.3195336123507203,1.0
36.05_83.0602m/z,0.0329041027576041,2539.674701002894,0.8966670201318208,0.007889958504079253,0.0329041027576112,0.8966670201320143
217.96_83.0602m/z,0.003160229483256391,719.3727643861159,0.1350022248323509,0.015051048362861863,0.003160229483256893,0.13500222483237234
274.66_83.0852m/z,0.03879158628060269,-1280.2908043995546,1.0,0.007404940545246652,0.03879158628060858,1.0
76.94_84.0442m/z,4.146277335616194e-06,7624.117134025924,0.0005969075867538581,0.03622227642346387,4.146277335616993e-06,0.0005969075867539731
217.96_84.0442m/z,0.0016205228148460642,7047.380566156313,0.07979709159698158,0.017146798040063693,0.0016205228148462342,0.07979709159698996
58.21_84.0442m/z,0.1589789461701137,-778.4011686794836,1.0,0.0034473257996731066,0.15897894617012165,1.0
107.67_84.0805m/z,0.5594809752137521,273.20841651477394,1.0,0.0005926937974017887,0.5594809752137517,1.0
46.02_84.0805m/z,0.0006508654437986648,1789.324176382738,0.03876886315891372,0.02003085081939493,0.0006508654437987753,0.03876886315892031
58.25_85.0282m/z,0.0002263875491402846,2011.2145640329377,0.016176372380446783,0.023391859702307283,0.00022638754914032296,0.01617637238044952
144.17_85.0282m/z,6.780954858951751e-05,1294.6469111025278,0.0060135965585027965,0.0272476107316173,6.780954858953411e-05,0.006013596558504268
39.77_85.0504m/z,0.1526431115632696,928.0567325270472,1.0,0.0035543911642771375,0.15264311156328078,1.0
294.46_86.0598m/z,0.25074878405480977,769.7924574630653,1.0,0.002293495236282528,0.250748784054919,1.0
88.91_86.0961m/z,5.993698160744027e-08,4606.856623738436,1.5362730921177827e-05,0.04983020010876538,5.993698160745043e-08,1.5362730921180433e-05
56.16_86.0962m/z,0.047324086980458736,18680.876759715844,1.0,0.006823999443216655,0.047324086980466626,1.0
245.51_86.0961m/z,0.00023597408021778783,899.3166202752009,0.01672781619045188,0.023259521700563557,0.0002359740802178244,0.01672781619045447
56.12_87.0994m/z,0.04207382575859801,1258.6912427005352,1.0,0.0071669324946932456,0.04207382575860907,1.0
39.93_88.0866m/z,0.12382378164674207,1597.8561829900511,1.0,0.004113836470146959,0.12382378164674064,1.0
43.36_89.0231m/z,0.19835036186377397,1230.525826803442,1.0,0.0028757151196925346,0.19835036186380273,1.0
237.39_89.0383m/z,0.03283741376834324,1160.53924080929,0.8957588530227597,0.007895957786479668,0.032837413768347645,0.8957588530228799
36.6_90.0546m/z,1.770753387941989e-10,-12555.379989991608,7.535972016877344e-08,0.06839998342555387,1.7707533879423484e-10,7.535972016878594e-08
91.66_90.1095m/z,0.6402209706061004,0.18660269533208354,1.0,0.00038017697376024895,0.6402209706061135,1.0
